Model,MSE,RMSE,MAE,MAPE
Linear Regression,23945.631228626433,154.74375990206013,126.52845359563652,0.007947464046496107
Random Forest,27848.955282925846,166.8800625686779,137.70563515981746,0.008647279357071672
SVM,2147911.2616982567,1465.5754029384693,1296.9565393438213,0.08273135863462615
LSTM,446032.89603710105,667.856942793216,551.7567670876141,0.03479413720753898
