Date,Symbol,Open,High,Low,Close,Volume,Market Cap
01-09-2025,BTC,108228.75,109890.5859375,107271.1796875,109250.59375,66870372995.0,2186522577286.994
02-09-2025,BTC,109243.0703125,111748.015625,108454.03125,111200.5859375,74776999491.0,2225549385262.598
03-09-2025,BTC,111190.6953125,112600.2265625,110582.9609375,111723.2109375,61119643565.0,2236009112049.709
04-09-2025,BTC,111718.1484375,112208.328125,109347.2265625,110723.6015625,60131132901.0,2216003102087.8154
05-09-2025,BTC,110723.015625,113357.4921875,110233.3984375,110650.984375,60241647677.0,2214549754197.266
06-09-2025,BTC,110650.5703125,111275.015625,110024.0859375,110224.6953125,21500719036.0,2206018078280.3403
07-09-2025,BTC,110221.328125,111591.078125,110211.625,111167.6171875,24618007520.0,2224889554375.2266
08-09-2025,BTC,111163.015625,112869.234375,110630.609375,112071.4296875,40212813407.0,2242978302171.018
09-09-2025,BTC,112077.578125,113225.4375,110776.703125,111530.546875,45984480722.0,2232153166667.37
10-09-2025,BTC,111531.25,114275.25,110940.078125,113955.359375,56377473784.0,2280682946643.396
11-09-2025,BTC,113961.4296875,115522.546875,113453.8359375,115507.5390625,45685065332.0,2311748003722.091
12-09-2025,BTC,115507.7890625,116769.3828125,114794.484375,116101.578125,54785725894.0,2323636999263.1025
13-09-2025,BTC,116093.5625,116334.6328125,115248.2734375,115950.5078125,34549454947.0,2320613504033.457
14-09-2025,BTC,115950.2890625,116181.5,115222.3984375,115407.65625,32798036057.0,2309748966306.203
15-09-2025,BTC,115399.6328125,116747.8828125,114461.0625,115444.875,52937859416.0,2310493855961.994
16-09-2025,BTC,115423.7578125,117005.2734375,114813.09375,116843.1875,45781744593.0,2338479441636.238
17-09-2025,BTC,116840.5078125,117328.609375,114794.9765625,116468.5078125,60528025996.0,2330980666866.6997
18-09-2025,BTC,116461.265625,117911.7890625,116188.796875,117137.203125,49457272032.0,2344363819744.1387
19-09-2025,BTC,117137.671875,117479.7578125,115141.8203125,115688.859375,38828473971.0,2315376917244.604
20-09-2025,BTC,115691.125,116191.1484375,115473.5234375,115721.9609375,22864449614.0,2316039406218.489
21-09-2025,BTC,115730.2265625,115901.0859375,115252.578125,115306.09375,22495852193.0,2307716311913.8267
22-09-2025,BTC,115309.21875,115431.3125,112037.6484375,112748.5078125,70684158591.0,2256529227214.8433
23-09-2025,BTC,112757.4765625,113351.9140625,111535.5703125,112014.5,47211853279.0,2241838921205.0757
24-09-2025,BTC,112007.6640625,113986.2734375,111229.640625,113328.6328125,48044595085.0,2268139749104.099
25-09-2025,BTC,113330.1640625,113541.0859375,108713.3984375,109049.2890625,75528654284.0,2182493699923.273
26-09-2025,BTC,109041.296875,110359.1953125,108728.9765625,109712.828125,57738288949.0,2195773656500.7913
27-09-2025,BTC,109707.140625,109778.5,109144.296875,109681.9453125,26308042910.0,2195155573207.4785
28-09-2025,BTC,109681.9453125,112375.484375,109236.9453125,112122.640625,33371048505.0,2244003229058.866
29-09-2025,BTC,112117.875,114473.5703125,111589.953125,114400.3828125,60000147466.0,2289589569116.7007
30-09-2025,BTC,114396.5234375,114836.6171875,112740.5625,114056.0859375,58986330258.0,2282698870726.5435
01-10-2025,BTC,114057.59375,118648.9296875,113981.3984375,118648.9296875,71328680132.0,2374619254942.5464
02-10-2025,BTC,118652.3828125,121086.40625,118383.15625,120681.2578125,71415163912.0,2415293920198.2476
03-10-2025,BTC,120656.984375,123944.703125,119344.3125,122266.53125,83941392228.0,2447021309892.7964
04-10-2025,BTC,122267.46875,122857.640625,121577.5703125,122425.4296875,36769171735.0,2450201475868.685
05-10-2025,BTC,122419.671875,125559.2109375,122191.9609375,123513.4765625,73689317763.0,2471977458732.248
06-10-2025,BTC,123510.453125,126198.0703125,123196.046875,124752.53125,72568881188.0,2496775685961.215
07-10-2025,BTC,124752.140625,125184.0234375,120681.96875,121451.3828125,76149412513.0,2430707069381.5503
08-10-2025,BTC,121448.3515625,124167.09375,121119.1796875,123354.8671875,65354305286.0,2468803078003.476
09-10-2025,BTC,123337.0703125,123739.34375,119812.03125,121705.5859375,74653009425.0,2435794646967.639
10-10-2025,BTC,121704.7421875,122509.6640625,104582.4140625,113214.3671875,153125018868.0,2265852856554.6455
11-10-2025,BTC,113236.4296875,113429.7265625,109760.5625,110807.8828125,110236934340.0,2217689892517.428
12-10-2025,BTC,110811.515625,115805.0625,109715.5390625,115169.765625,93710414091.0,2304987864287.136
13-10-2025,BTC,115161.6796875,116020.484375,113821.1875,115271.078125,71582026739.0,2307015515222.547
14-10-2025,BTC,115264.8828125,115502.8828125,110029.484375,113118.6640625,92212917403.0,2263937470684.906
15-10-2025,BTC,113113.96875,113622.3828125,110235.8359375,110783.1640625,72574132855.0,2217195175709.9297
16-10-2025,BTC,110782.171875,111990.8125,107537.03125,108186.0390625,87306423067.0,2165216763020.191
17-10-2025,BTC,108179.1328125,109235.8046875,103598.4296875,106467.7890625,99703051669.0,2130828003293.9
18-10-2025,BTC,106483.734375,107490.984375,106387.453125,107198.265625,37779905278.0,2145447635474.0247
