Model,MSE,RMSE,MAE,MAPE
Linear Regression,7488.3266341367025,86.53511792409311,75.27459682310248,46.20743477131063
Random Forest,0.14543645476683154,0.38136131786906696,0.2488635979823342,0.17292980931486857
SVM,151323009.66382173,12301.341783066664,12299.029998139049,6633.897626770705
LSTM,0.0024681233979611844,0.04968021133168804,0.037579152491599314,4691310046493.57
